#OTU ID,SRR6072276_ALAGAPPA_2017,SRR6072278_ALAGAPPA_2017
K00499,262.75,71.5
K00500,1022.22,594.25
K00501,13.0,9.0
K00504,0.0,0.0
K00505,182.72,0.0
K00507,1692.0200000000002,1376.76
K00508,1008.11,881.29
K00510,218.0,26.0
K00511,5.0,0.0
K00514,5.5,16.5
K00517,1590.18,356.5
K00518,37.0,6.0
K00520,234.55,180.33
K00523,911.55,401.58
K00524,0.0,0.0
K00525,3916.82,3174.51
K00526,2164.48,1502.09
K00527,265.5,523.0
K00528,2693.94,1319.16
K00529,942.25,349.0
K00531,7.0,0.0
K00532,0.0,0.0
K00533,0.0,0.0
K00534,52.0,7.5
K00537,2334.03,1858.16
K00543,0.0,0.0
K00544,0.0,0.0
K00545,172.0,0.0
K00547,358.17,325.33
K00548,3664.65,3195.43
K00549,1479.3100000000002,1149.51
K00554,2663.31,2435.67
K00555,0.0,0.0
K00556,418.5100000000001,570.59
K00557,203.8,205.08
K00558,1364.55,1081.33
K00559,0.0,0.0
K00560,2115.1400000000003,1701.17
K00561,206.0,0.0
K00563,186.8,271.83
K00564,649.6899999999999,545.0
K00566,2666.31,2490.67
K00567,2673.98,2312.5
K00568,1823.3,985.83
K00569,450.22,279.25
K00570,267.0,168.0
K00571,449.01,575.24
K00573,3160.3900000000003,2241.25
K00574,3423.44,1372.82
K00575,2740.15,2673.12
K00577,0.0,26.0
K00578,0.0,0.0
K00579,0.0,0.0
K00580,0.0,0.0
K00581,0.0,0.0
K00582,0.0,0.0
K00583,0.0,0.0
K00584,0.0,0.0
K00586,0.0,0.0
K00587,0.0,0.0
K00588,127.0,36.0
K00589,0.0,0.0
K00590,0.0,0.0
K00594,130.34,165.01
K00595,604.55,329.33
K00596,0.0,0.0
K00598,392.89,146.82999999999998
K00600,3073.36,2537.5
K00601,20.0,28.0
K00602,2637.31,2427.17
K00603,52.5,94.5
K00604,2815.32,2620.93
K00605,2843.55,2475.0
K00606,2472.31,2400.17
K00608,1.0,3.0
K00609,2635.31,2444.67
K00610,57.0,65.0
K00611,1359.61,1564.5
K00612,308.56,408.08
K00613,0.0,11.0
K00615,3893.82,3541.01
K00616,2402.65,2385.67
K00619,496.5100000000001,331.51
K00620,1737.3,1649.58
K00621,17.5,24.0
K00622,172.0,0.0
K00624,0.0,0.0
K00625,731.3299999999999,456.83
K00626,9070.2,5425.25
K00627,3626.11,2753.66
K00630,25.0,9.0
K00631,683.65,503.17
K00632,2685.4700000000003,1779.24
K00633,44.0,32.0
K00634,405.0,118.5
K00635,255.25,167.5
K00638,80.75,24.0
K00639,1833.18,1840.18
K00640,2338.67,2336.0
K00641,2203.1400000000003,1669.34
K00643,469.0,201.0
K00645,2899.31,2442.17
K00646,0.0,0.0
K00647,2020.65,1591.87
K00648,3953.26,3529.09
K00651,318.0,230.0
K00652,2168.48,1965.34
K00654,0.0,0.0
K00655,4327.43,3752.5
K00656,70.0,79.0
K00657,178.5,242.75
K00658,3183.98,2618.76
K00661,408.73,373.34
K00662,14.0,11.5
K00663,114.5,182.0
K00666,5276.67,2369.4700000000003
K00672,59.0,29.5
K00673,622.61,400.83
K00674,2035.31,1402.67
K00675,348.5,138.0
K00677,1986.14,2398.34
K00680,1006.91,748.41
K00681,3584.6600000000003,3203.34
K00682,0.0,14.0
K00683,166.0,0.0
K00684,1736.4699999999998,1305.66
K00685,1353.31,888.4200000000001
K00686,74.0,65.0
K00687,0.0,0.0
K00688,1897.56,1827.67
K00689,0.0,0.0
K00690,1.0,12.0
K00691,149.34,162.01
K00692,16.0,7.0
K00693,87.0,129.0
K00694,191.72,121.5
K00695,6.0,17.0
K00696,41.0,49.5
K00697,1125.0,358.0
K00700,1637.06,1483.67
K00701,0.0,0.0
K00702,8.0,5.0
K00703,1689.23,1803.75
K00705,1108.39,888.3299999999999
K00709,0.0,0.0
K00712,24.0,0.0
K00713,0.0,0.0
K00720,112.67,107.33
K00721,2392.02,2024.68
K00728,0.0,0.0
K00729,0.0,9.0
K00737,0.0,7.5
K00743,0.0,0.0
K00748,2001.64,2200.34
K00750,0.0,0.0
K00752,27.67,11.33
K00754,321.59000000000003,234.01
K00756,437.17,522.0
K00757,360.34,398.76
K00758,785.8299999999999,379.33
K00759,1975.73,1806.59
K00760,2256.31,2200.17
K00761,2075.1400000000003,1687.59
K00762,2614.81,2439.17
K00763,1718.64,866.5799999999999
K00764,2538.31,2382.67
K00765,2515.31,2430.42
K00766,2607.31,2372.67
K00767,2504.31,2391.67
K00768,1241.14,735.3399999999999
K00769,221.0,201.0
K00772,1026.5,750.41
K00773,2686.31,2535.17
K00782,972.5,748.42
K00783,1939.97,1691.83
K00784,1148.3100000000002,1071.26
K00785,0.0,0.0
K00786,209.83,208.83
K00788,2823.98,2309.75
K00789,2658.31,2491.67
K00790,2802.31,2489.67
K00791,2757.31,2481.17
K00793,2543.03,2454.67
K00794,2767.31,2425.67
K00795,1385.08,867.5799999999999
K00796,2962.31,2439.17
K00797,1667.33,1440.4
K00798,2386.31,1901.67
K00799,8426.75,4207.280000000001
K00800,2620.59,2490.67
K00801,96.0,85.0
K00803,361.84,215.16
K00805,708.3299999999999,326.58
K00806,2548.48,2486.17
K00808,196.0,101.0
K00809,701.6800000000001,915.92
K00812,2245.76,2518.84
K00813,37.0,84.0
K00816,0.0,0.0
K00817,4431.9800000000005,3686.51
K00818,1428.75,1577.17
K00819,898.34,704.51
K00820,3368.3100000000004,2890.67
K00821,1136.61,863.3299999999999
K00822,626.97,385.0
K00823,699.25,309.66
K00824,845.34,711.26
K00826,4241.16,3857.52
K00827,0.0,13.0
K00830,287.5,248.5
K00831,2375.48,1735.01
K00832,978.69,350.16
K00833,1865.48,1735.34
K00835,1.0,26.5
K00836,388.97,196.0
K00839,26.0,2.0
K00840,56.25,0.0
K00841,114.0,65.0
K00842,0.0,0.0
K00844,0.0,0.0
K00845,3238.5600000000004,2822.67
K00846,6.0,17.0
K00847,1782.34,1536.57
K00848,86.0,168.5
K00849,910.84,920.51
K00850,2384.3500000000004,2737.68
K00851,1172.0700000000002,608.52
K00852,1191.39,976.0
K00853,316.84000000000003,385.51
K00854,1072.01,1038.34
K00855,279.33,305.58
K00856,1093.67,455.59
K00857,1372.5100000000002,1105.09
K00858,2790.31,2528.67
K00859,2663.31,2430.67
K00860,437.5100000000001,810.01
K00861,0.0,0.0
K00862,0.0,0.0
K00863,131.0,25.0
K00864,2132.31,1593.67
K00865,688.6400000000001,578.8399999999999
K00867,377.0,89.0
K00868,521.22,178.0
K00869,345.17,305.08000000000004
K00870,0.0,0.0
K00872,1108.84,917.01
K00873,2824.78,2488.0
K00874,1264.68,982.67
K00875,9.0,12.0
K00876,826.51,959.59
K00878,280.25,361.83
K00879,0.0,0.0
K00880,0.0,0.0
K00881,0.0,0.0
K00882,450.97,276.5
K00883,472.0,82.0
K00884,9.0,5.0
K00885,0.0,0.0
K00886,286.17,79.5
K00887,161.5,104.5
K00891,2481.6400000000003,2351.84
K00892,0.0,71.0
K00895,62.0,97.0
K00897,16.0,0.0
K00899,108.0,192.0
K00901,1462.14,1177.34
K00903,0.0,0.0
K00906,363.55,302.08
K00912,2016.64,2166.09
K00917,117.0,133.0
K00918,0.0,0.0
K00919,2259.1400000000003,2148.09
K00924,670.6400000000001,560.3399999999999
K00925,1746.08,1366.08
K00926,167.22,152.0
K00927,2691.31,2469.67
K00928,2833.32,2799.34
K00929,139.0,70.0
K00930,2539.48,2345.5
K00931,2157.97,1937.41
K00932,0.0,0.0
K00933,0.0,0.0
K00934,0.0,0.0
K00936,3942.69,4455.99
K00937,2535.4,1899.18
K00938,70.67,19.33
K00939,2713.81,2656.17
K00940,2678.31,2460.67
K00941,2143.8,1573.2399999999998
K00942,2664.31,2427.67
K00943,2360.25,2264.91
K00945,2412.98,2327.59
K00946,2300.31,2206.67
K00947,0.0,0.0
K00948,3398.95,2776.17
K00949,375.0,227.25
K00950,2904.78,2682.42
K00951,2908.53,2226.67
K00952,0.0,26.0
K00954,2643.31,2429.17
K00955,1337.56,818.9200000000001
K00956,818.4200000000001,799.8399999999999
K00957,2031.64,1310.75
K00958,312.67,378.0
K00960,51.0,65.0
K00962,2661.31,2435.67
K00963,2302.97,1615.91
K00965,392.34,419.01
K00966,419.67,489.58
K00968,0.0,0.0
K00969,2609.06,2435.67
K00970,2136.64,1756.24
K00971,1352.23,1552.59
K00972,58.0,114.5
K00973,3000.2300000000005,2884.1
K00974,1562.4699999999998,1294.91
K00975,1454.5,1160.66
K00978,293.89,259.83
K00979,2016.64,2066.34
K00980,38.0,11.0
K00981,2828.53,2563.67
K00982,1793.9699999999998,947.91
K00983,384.68,322.02
K00984,118.0,0.0
K00986,45.5,97.5
K00988,87.66,26.91
K00989,2160.97,1861.91
K00990,1792.9699999999998,1119.91
K00991,1838.14,1975.59
K00992,1382.8,723.5799999999999
K00993,0.0,0.0
K00995,2751.37,2444.08
K00996,15.0,18.0
K00997,1866.17,1733.42
K00998,153.72,32.0
K00999,172.0,0.0
K01000,2660.31,2455.67
K01001,0.0,26.0
K01002,0.0,14.25
K01003,49.22,36.0
K01004,140.5,85.0
K01006,1066.0,1073.16
K01007,1438.8200000000002,1416.5
K01008,1071.56,821.5899999999999
K01011,2513.36,1243.75
K01012,2139.06,2030.17
K01014,5.0,0.0
K01015,0.0,0.0
K01021,0.0,0.0
K01023,9.0,2.5
K01025,0.0,0.0
K01026,161.32999999999998,73.33
K01027,189.67,54.33
K01028,1193.64,667.3299999999999
K01029,1193.64,667.3299999999999
K01031,281.5,19.0
K01032,307.5,21.5
K01034,40.0,27.0
K01035,40.0,27.0
K01039,395.22,214.75
K01040,361.22,214.75
K01042,535.23,409.51
K01045,0.0,0.0
K01046,688.03,286.16
K01048,425.0,350.0
K01051,302.68,400.02
K01053,809.01,855.34
K01055,814.22,322.5
K01056,2664.31,2438.67
K01057,1705.23,1018.09
K01058,395.25,268.0
K01060,51.0,60.0
K01061,2976.61,1576.0
K01066,1844.22,629.91
K01067,108.5,158.5
K01069,1566.7999999999995,1045.9899999999998
K01070,1074.8,614.0799999999999
K01071,18.0,19.0
K01073,67.5,82.0
K01075,398.22,345.91
K01077,766.09,717.01
K01078,203.0,65.5
