#OTU ID,Abundance,Percentage
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;__;__,3.9042713378733067,0.2115754958322707
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Acetoanaerobium;s__Acetoanaerobium noterae,3.873772073064498,0.20992271698674134
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;__;__,3.843544679979628,0.20828467108106619
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;__;__;__;__,3.832561131490195,0.20768946405866814
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales;f__Clostridiaceae_222000;__;__,3.826850207924213,0.20737998467555974
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__UTCFX2;s__UTCFX2 sp002050125,3.8241515008413414,0.20723373964293976
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__,3.799192126630263,0.20588117177114612
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__,3.7805483665885515,0.20487085193585733
d__Bacteria;p__Desulfobacterota_G_459546;c__Desulfuromonadia;o__Geobacterales;f__Pseudopelobacteraceae;g__Oryzomonas;s__,3.7444933355490986,0.2029170018037158
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga;s__,3.7363476003314853,0.20247557808634586
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Thiobacillaceae;g__Thiobacillus;__,3.724454558980939,0.20183108493949758
d__Bacteria;p__Nitrospirota_A_437815;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__GW-Nitrospira-1;s__GW-Nitrospira-1 sp002839535,3.6835364768583654,0.19961370229254638
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597432;f__Rhodocyclaceae;g__Thauera_A_597130;__,3.638651900413373,0.19718137223790846
d__Bacteria;p__Desulfobacterota_G_459546;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__,3.610182361448202,0.1956385858121184
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Dietzia;s__Dietzia cinnamea,3.6041123608320618,0.1953096477648049
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__PHET01;g__DSSC01;s__DSSC01 sp011331305,3.5655947063735307,0.19322234615712544
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;g__Anaerovorax;s__Anaerovorax odorimutans,3.5582679950757727,0.19282530598202136
d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales_A_2632;f__Methanosarcinaceae;g__Methanosarcina_2619;__,3.546725400953184,0.19219980384261123
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597441;f__Methylophilaceae;g__Methylotenera_A_557637;__,3.525467256175273,0.1910478084681528
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_597437;f__Casimicrobiaceae;g__VBCG01;s__VBCG01 sp005881895,3.501744785835357,0.18976226937770937
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;__;__,3.4683486681688263,0.18795250782614212
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_592522;f__Burkholderiaceae_A_592522;g__Giesbergeria;s__Giesbergeria metamorpha,3.4564210454495115,0.18730614068806462
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Cupidesulfovibrio;__,3.4302549486885225,0.1858881795841581
