,BIOFILME,CHORUME,LODO,OLEO,PEIXE,SEDIMENTO,SOLO
CRNFORCAT-PWY,0.0,2.1600506161511657e-05,0.00011330871786610862,0.00030229222572093333,0.0002509679669438346,3.3186398939707384e-05,0.00015563209823715707
DAPLYSINESYN-PWY,0.012137059582834456,0.006107363895564283,0.004916978050669862,0.00492652448160636,0.005477475092936434,0.004941613757599617,0.004904959366376317
DENITRIFICATION-PWY,9.185913537255794e-06,7.728521950007304e-05,0.0007650160299904298,0.0003527103239450333,0.0005398492383740791,0.00037102378644484414,0.0010405732107460954
DENOVOPURINE2-PWY,0.00850689249532171,0.007223596375220185,0.005196999996223459,0.005554247772441713,0.005039921106052207,0.005276962978066231,0.0036797211230520485
DHGLUCONATE-PYR-CAT-PWY,0.0,4.606111688027517e-05,2.0393352691662475e-05,0.00011131548135944155,2.6731267270954587e-05,0.00014828215531926614,0.00012625537316885013
DTDPRHAMSYN-PWY,0.012663580594037126,0.007975451444831588,0.006093078894418121,0.00621074060803677,0.005405481325976068,0.006354911261059137,0.005573971807957717
ECASYN-PWY,4.829889752928233e-07,1.9652284383877508e-05,2.8091933159592386e-05,0.00021082859632522876,2.4712569255239745e-05,4.149962567585826e-06,0.0
ENTBACSYN-PWY,1.21297839008444e-06,0.00021542539000313934,0.00047164439718758915,0.0012147029854506866,0.0005496248700586147,0.00029140090602994967,0.0006670655049538362
FAO-PWY,5.65654372061877e-05,0.0027839906939110416,0.004172265283570903,0.004138332080585287,0.0061700158277994775,0.004588427083622987,0.0064032516539878495
FASYN-ELONG-PWY,0.00047461474944408794,0.005193021686551718,0.007636688498930148,0.007180785071110893,0.006334212916048724,0.006267223616491784,0.007513244030598488
FASYN-INITIAL-PWY,1.756714599737411e-05,0.001991783624415467,0.003458988132463622,0.0039110017389567256,0.0037034234424718525,0.0029365712181619263,0.005531118667972924
FERMENTATION-PWY,0.00024292580348306405,0.0032445280009166626,0.003317825599105219,0.0038697568369600315,0.003556678528361806,0.0033536574487019284,0.003226495637994698
FOLSYN-PWY,0.0009278353367069606,0.004268254976902592,0.0051256615772514134,0.00508550061575797,0.005140101817840917,0.004813390306684761,0.005124138810446141
FUC-RHAMCAT-PWY,6.504917876486442e-06,9.909726274128832e-06,0.0001489229534585866,0.00043247489366320314,7.865734105371399e-05,6.71958598565534e-05,0.0
FUCCAT-PWY,4.2193478305366804e-05,0.0004422156349659627,0.0002982747016745969,0.0005421046560641469,9.443581758809972e-05,8.58984883817744e-05,1.6968663194229765e-05
GALACT-GLUCUROCAT-PWY,1.3569628552722052e-05,0.0004037789552279278,0.000563918586628428,0.0015223681914268582,0.0004757616972295431,0.0003723211527469024,0.0007181083386062464
GALACTARDEG-PWY,4.55508297830702e-06,0.00015134854854893828,0.00021992104443984176,0.0003190410623296549,0.0001547273024590189,3.516328371837893e-05,0.00013470546791769539
GALACTUROCAT-PWY,2.3317308518470442e-05,0.0008714466839870851,0.0012770747348274148,0.0023546367407484415,0.0012570728682471557,0.0007044157157405408,0.0014666563926994838
GALLATE-DEGRADATION-I-PWY,2.283464600353025e-06,5.336125914130385e-05,0.00023635103014984295,0.00015263305695256178,0.00028700990657986724,0.0001245196589804357,0.0001806431124911352
