#OTU ID,SRR12327344_ALBARRACIN-ARIAS_2021,SRR12328004_ALBARRACIN-ARIAS_2021
K00065,0.07362198366994285,0.05904881086325739
K00066,0.07043084859310637,0.0
K00067,0.07126261817427357,0.05136244664451186
K00068,0.09059534154412366,0.13781450410049034
K00073,0.029848638378406726,0.04957383888788754
K00074,0.06492079322004478,0.03535568951741186
K00075,0.07173036297411821,0.04762637910984438
K00076,0.09262789882301192,0.006446497982721989
K00077,0.07118520221088152,0.06025799772081655
K00078,0.0,0.0
K00082,0.0,0.0
K00086,0.030133962618363257,0.020321347850930493
K00087,0.05727528088705326,0.025114797202155682
K00088,0.06641790318580139,0.04297446080561383
K00090,0.069078696896232,0.05834556856110085
K00091,0.06129337406969419,0.0
K00094,0.2555539479239185,0.28480661623678316
K00096,0.0440897376431011,0.05206176717347226
K00097,0.0735436482213878,0.043749572846545584
K00098,0.10004589386117294,0.0749063306903254
K00099,0.07195651220783866,0.04740246750114289
K00100,0.06584007508158272,0.05261828186914531
K00101,0.06591597134222146,0.04092537468089462
K00102,0.0678120266462176,0.02794493772327582
K00103,0.0,0.0
K00104,0.06316128072736168,0.040345753956661734
K00105,0.0,0.0
K00106,0.0,0.0
K00108,0.06449653093886479,0.03357319856364832
K00109,0.0,0.0
K00111,0.06583505734572034,0.056203134468431976
K00112,0.11562996998346517,0.07422672337749045
K00113,0.10150935583096919,0.06788681198904602
K00114,0.07444534383893392,0.015266547520394752
K00116,0.05709092031445745,0.055834598407824024
K00117,0.06977708029337945,0.03550227132232889
K00118,0.047277963711868466,0.0
K00121,0.05282991069264459,0.06010651213676881
K00122,0.05589880752538384,0.0
K00123,0.06988396474493828,0.05834640260223342
K00124,0.06485762616470772,0.06895837219826213
K00125,0.029106264030401195,0.0
K00126,0.08308975098020235,0.04086106674824586
K00127,0.07452795634887142,0.08286139085105149
K00128,0.06676637846264596,0.041646368761132584
K00129,0.0,0.0
K00130,0.05007692605021276,0.023906571398913484
K00131,0.06445057201379654,0.08300974046390892
K00132,0.06883306007129475,0.17831510471286985
K00133,0.07024544315453299,0.0475155446536276
K00134,0.07013767326061064,0.06247904084432644
K00135,0.055166180702349965,0.05126742877519706
K00137,0.11846614775995946,0.07770832156061071
K00138,0.06307135107927052,0.06627863014181716
K00140,0.055861756862291397,0.07532293124991202
K00141,0.08446149744704139,0.03530826822471655
K00145,0.07143191138757896,0.04458325062363762
K00146,0.08667555114421034,0.06267831048054318
K00147,0.07194796002582829,0.05474117539511839
K00148,0.058821095409023555,0.025109949620679577
K00150,0.02866088485264488,0.0
K00151,0.08745583690137812,0.08371935563716082
K00152,0.0,0.0
K00153,0.022362535942515274,0.0
K00154,0.048530549987026134,0.0712680088967717
K00156,0.0610488589103812,0.059102706140291
K00158,0.0871441081810942,0.11866220505163351
K00161,0.06136525898272334,0.028928593851510986
K00162,0.059293323724874496,0.029277361501920028
K00163,0.04973321994929185,0.04872885937652413
K00164,0.05876723480708607,0.04681481209612174
K00166,0.07796401052771361,0.12103683404622524
K00167,0.07588322295448115,0.11526505042131677
K00169,0.06331004757379152,0.029911185959271523
K00170,0.06598800597926162,0.0024944685685981904
K00171,0.0686248983780592,0.0027699266727183964
K00172,0.06709214759338517,0.02948914152786117
K00174,0.0801995575566828,0.03477163864090205
K00175,0.0797555981660463,0.035155734716902545
K00176,0.07481118029976193,0.03354481146815056
K00177,0.07515802369427933,0.033032437560863125
K00179,0.07106142868190211,0.027110069326491303
K00180,0.07312660233032879,0.028186792126501832
K00183,0.0,0.0
K00184,0.0707118550247876,0.020227890963857256
K00185,0.06885069830670904,0.019627547852085453
K00186,0.07347529369895703,0.0
K00187,0.04455831976361631,0.0
K00188,0.026929556730929137,0.0
K00189,0.0,0.0
K00192,0.037647153509124044,0.0
K00193,0.04459404603448496,0.0
K00194,0.035885633250256774,0.04788148154846289
K00195,0.03933492824716091,0.0
K00196,0.043563424373020763,0.0508886665497178
K00197,0.04834653145902746,0.037203358932572796
K00198,0.044414170946568673,0.06175668115921246
K00200,0.056309713260568696,0.0
K00201,0.047966225610053835,0.0
K00202,0.05148236455464165,0.0
K00203,0.03260136112565225,0.0
K00204,0.038939699888995476,0.0
K00205,0.03091412224545844,0.0
K00207,0.0,0.0
K00208,0.0744718995163758,0.028433902389373787
K00209,0.08920221466966238,0.13611842576943706
K00210,0.09142794449624436,0.0
K00211,0.0,0.0
K00213,0.0,0.0
K00214,0.0,0.0
K00215,0.07051026450210587,0.0491392385618618
K00216,0.09717170591183173,0.07853982180642838
K00217,0.04167118852534477,0.0
K00218,0.0,0.0
K00219,0.0640834248045263,0.06813393918744043
K00220,0.08548904529482013,0.04810403259719306
K00221,0.0,0.0
K00222,0.0,0.0
K00226,0.1032950509941875,0.02096583799674192
K00227,0.0,0.0
K00228,0.0631560058585228,0.05431071763900555
K00230,0.07866874623796419,0.18409955198651615
K00231,0.05888437018589468,0.027035877076150266
K00232,0.029917980093611147,0.0
K00239,0.07207755578260287,0.039534940701921054
