,BIOFILME,CHORUME,LODO,OLEO,PEIXE,SEDIMENTO,SOLO
ENTBACSYN-PWY,0.26560043669976596,54.320016635197696,150.28857122611623,393.54082062060826,264.6020507761218,122.51157987654086,321.7711321092065
FAO-PWY,12.385880034541078,701.9897738297217,1329.48423003274,1340.741417861807,2970.387495716422,1929.0792840060208,3088.7244484728776
FASYN-ELONG-PWY,103.92426258123561,1309.4325807943112,2433.4159596655695,2326.4387125357225,3049.4357496238285,2634.8835944149832,3624.1493820096684
FASYN-INITIAL-PWY,3.8465991534657946,502.2329058352214,1102.1998510231197,1267.0906816176098,1782.9132034471293,1234.6014439640069,2668.035301491389
FERMENTATION-PWY,53.19237343235091,818.1153344115543,1057.2186839073881,1253.7281125183222,1712.2668274737434,1409.9539977510397,1556.3586281602402
FOLSYN-PWY,203.1639414430854,1076.2504890683288,1633.2821075097609,1647.6061305220605,2474.5632090005906,2023.6589483142159,2471.721193612135
FUC-RHAMCAT-PWY,1.4243526865887868,2.498760689504099,47.45400990984851,140.1136957664428,37.867452666743354,28.250670405749833,0.0
FUCCAT-PWY,9.238916666114218,111.5057080660063,95.04465443642678,175.63166779456145,45.46357408802499,36.11368153939878,8.185142127481157
GALACT-GLUCUROCAT-PWY,2.971280691328471,101.81380924785216,179.69156249412438,493.2185353266009,229.0426209320553,156.53229520085918,346.39256770800057
GALACTARDEG-PWY,0.9974060858230082,38.16289098871562,70.07741372208704,103.3632772659224,74.48928127533149,14.783445599660869,64.97762302395903
GALACTUROCAT-PWY,5.105686445689934,219.73732237493687,406.9373841620054,762.8578231194241,605.1837844924054,296.1524155877824,707.4682836834402
GALLATE-DEGRADATION-I-PWY,0.5,13.455166469414213,75.31279676139724,49.4502270978256,138.17316866683458,52.35090156450435,87.13647817544674
GALLATE-DEGRADATION-II-PWY,0.0,3.1322221080545725,44.570625615520335,28.871599384396823,45.69323487758958,11.131084892069177,77.28267595741258
GLCMANNANAUT-PWY,18.67288244790693,187.67807989194276,111.93538188215082,241.4296145742348,192.13061617824,60.56388674702597,64.41173579910011
