index	Group	d__Bacteria;p__Firmicutes	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Desulfobacterota	Unassigned;__	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Chloroflexi	d__Archaea;p__Halobacterota	d__Bacteria;p__Synergistota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Patescibacteria	d__Bacteria;__	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Campylobacterota
SRR30160135_CASTELLANO-HINOJOSA_2024	PEIXE	0.12671112671112672	0.16637416637416638	0.28255528255528256	0.0343980343980344	0.0	0.001404001404001404	0.2270972270972271	0.08494208494208494	0.011583011583011582	0.019305019305019305	0.000702000702000702	0.016146016146016146	0.001053001053001053	0.011232011232011231	0.001404001404001404
SRR30160136_CASTELLANO-HINOJOSA_2024	PEIXE	0.10249210249210249	0.21762021762021763	0.2527202527202527	0.030186030186030187	0.0	0.004563004563004563	0.18954018954018953	0.08178308178308179	0.018252018252018252	0.023868023868023867	0.001404001404001404	0.02070902070902071	0.0	0.02808002808002808	0.000351000351000351
SRR30160137_CASTELLANO-HINOJOSA_2024	PEIXE	0.08845208845208845	0.21726921726921727	0.2657072657072657	0.03159003159003159	0.0	0.000351000351000351	0.25026325026325025	0.07125307125307126	0.012285012285012284	0.018954018954018954	0.001404001404001404	0.015795015795015795	0.000351000351000351	0.012285012285012284	0.001404001404001404
SRR30160138_CASTELLANO-HINOJOSA_2024	PEIXE	0.07546507546507547	0.1667251667251667	0.38294138294138297	0.015093015093015093	0.0	0.0	0.22464022464022465	0.048087048087048084	0.006318006318006318	0.011232011232011231	0.000702000702000702	0.044928044928044926	0.000351000351000351	0.003159003159003159	0.0
SRR30160139_CASTELLANO-HINOJOSA_2024	PEIXE	0.07265707265707266	0.13232713232713234	0.3727623727623728	0.012285012285012284	0.0	0.0	0.2614952614952615	0.0680940680940681	0.004563004563004563	0.012636012636012635	0.003159003159003159	0.029133029133029134	0.001755001755001755	0.004914004914004914	0.0
SRR30160140_CASTELLANO-HINOJOSA_2024	PEIXE	0.016848016848016848	0.14777114777114778	0.5212355212355212	0.001755001755001755	0.0	0.0	0.19094419094419093	0.02772902772902773	0.0	0.0	0.003861003861003861	0.056511056511056514	0.001053001053001053	0.0	0.0
SRR30160141_CASTELLANO-HINOJOSA_2024	PEIXE	0.01755001755001755	0.1239031239031239	0.5187785187785188	0.000702000702000702	0.0	0.000351000351000351	0.2113022113022113	0.03264303264303264	0.0	0.0	0.005616005616005616	0.05265005265005265	0.0	0.000351000351000351	0.0
SRR30160142_CASTELLANO-HINOJOSA_2024	PEIXE	0.12530712530712532	0.21375921375921375	0.2836082836082836	0.04247104247104247	0.0	0.00351000351000351	0.1274131274131274	0.09617409617409617	0.016146016146016146	0.03194103194103194	0.004563004563004563	0.011232011232011231	0.000702000702000702	0.016848016848016848	0.001404001404001404
SRR30160143_CASTELLANO-HINOJOSA_2024	PEIXE	0.10986310986310986	0.22499122499122498	0.3018603018603019	0.03615303615303615	0.0	0.002106002106002106	0.16848016848016847	0.07441207441207441	0.007722007722007722	0.02457002457002457	0.002808002808002808	0.010179010179010179	0.000351000351000351	0.016146016146016146	0.001404001404001404
SRR30160144_CASTELLANO-HINOJOSA_2024	PEIXE	0.40365040365040367	0.009477009477009477	0.2836082836082836	0.0179010179010179	0.0	0.0	0.14777114777114778	0.005265005265005265	0.015444015444015444	0.007722007722007722	0.0	0.03931203931203931	0.0	0.000702000702000702	0.010179010179010179
SRR30160145_CASTELLANO-HINOJOSA_2024	PEIXE	0.11863811863811864	0.19936819936819936	0.34257634257634256	0.03123903123903124	0.0	0.000351000351000351	0.1797121797121797	0.05265005265005265	0.011934011934011933	0.018252018252018252	0.001755001755001755	0.014391014391014392	0.001053001053001053	0.011583011583011582	0.000702000702000702
SRR30160146_CASTELLANO-HINOJOSA_2024	PEIXE	0.12214812214812215	0.1740961740961741	0.30852930852930854	0.03123903123903124	0.0	0.0	0.1611091611091611	0.06669006669006669	0.048789048789048786	0.03194103194103194	0.00351000351000351	0.01404001404001404	0.0	0.008073008073008073	0.000702000702000702
SRR30160147_CASTELLANO-HINOJOSA_2024	PEIXE	0.05019305019305019	0.16005616005616005	0.4798174798174798	0.009126009126009126	0.0	0.001755001755001755	0.15935415935415936	0.06212706212706213	0.014742014742014743	0.008073008073008073	0.003861003861003861	0.020007020007020006	0.0	0.008424008424008424	0.0
SRR30160148_CASTELLANO-HINOJOSA_2024	PEIXE	0.05124605124605124	0.19761319761319762	0.4183924183924184	0.008775008775008775	0.0	0.002106002106002106	0.17725517725517725	0.06669006669006669	0.01368901368901369	0.01053001053001053	0.002808002808002808	0.016497016497016497	0.0	0.008775008775008775	0.0
SRR30160149_CASTELLANO-HINOJOSA_2024	PEIXE	0.00702000702000702	0.18392418392418391	0.4882414882414882	0.001053001053001053	0.0	0.0	0.17269217269217269	0.07195507195507196	0.0	0.000702000702000702	0.003861003861003861	0.02772902772902773	0.000702000702000702	0.0	0.0
